id,name,smiles,chemotype,notes
C01,Variant 1,CC(C)NC(=O)O,IgG1,"Humanized; low glycosylation"
C02,Variant 2,CCOCCN,IgG1,"Engineered hinge"
C03,Variant 3,CC(N)C(=O)O,IgG4,"Stabilized Fc"
C04,Variant 4,COC1=CC=CC=C1O,IgG1,"High affinity clone"
C05,Variant 5,O=C(NC)C(O)C,IgG1,"Alt light chain"
C06,Variant 6,CC(C)NCCO,IgG4,"Back-mutation A"
C07,Variant 7,CN(C)C(=O)O,IgG1,"Back-mutation B"
C08,Variant 8,CCC(N)C(O)O,IgG1,"Buffer A compatible"
C09,Variant 9,COC(C)NCCO,IgG1,"Buffer C compatible"
C10,Variant 10,CCN(CC)C(=O)O,IgG4,"Heat tolerant"
C11,Variant 11,CCOC(=O)NCC,IgG1,"Legacy reference"
C12,Variant 12,CC(=O)Oc1ccccc1C(=O)O,IgG1,"Aspirin-like stability booster"
