id,name,smiles,chemotype,notes
E01,Amylase-BL,CC(C)C(=O)O,Hydrolase,"Baseline lot"
E02,Lipase-CA,CC(N)C(=O)O,Hydrolase,"Cold-adapted"
E03,Protease-PT,C1=CC(=O)NC(=O)C1,Hydrolase,"Phosphate tolerant"
E04,Cellulase-SM,CC(C)NC(=O)O,Hydrolase,"Stabilized mutant"
E05,Catalase-FT,CCOC(=O)N,Hydrolase,"Fast turnover"
E06,Esterase-SF,CN(C)C(=O)O,Hydrolase,"Shipping friendly"
E07,Lactase-LT,CCN(CC)C(=O)O,Hydrolase,"Low-temp tuned"
E08,Nuclease-WW,CCN(CC)CCCC(C)NC1=NC(=NC(=N1)N)N,Hydrolase,"Caffeine-adduct wide window"
E09,Phosphatase-BO,COC(C)NCCO,Hydrolase,"Buffer B optimized"
E10,Peptidase-CR,CC(C)NCCO,Hydrolase,"Cold-chain ready"
E11,Invertase-REF,CC(=O)NCCO,Hydrolase,"Legacy"
E12,Urease-PB,CC(C)OC(=O)NC,Hydrolase,"Pilot batch"
